feature,importance
std,0.1059117695556173
mean_absolute_amplitude,0.09583095677646557
peak_to_peak,0.09219370760054817
rms,0.09017528062673875
iqr,0.08257918579133323
difference_std,0.07618573815449475
min,0.07153337243163899
difference_abs_mean,0.06073054174726862
line_length,0.0606514646259315
max,0.05761312138147159
theta_power,0.043971377195159936
beta_power,0.0214556759189815
theta_relative_power,0.019293761394460845
alpha_power,0.0191337474437335
zero_crossing_rate,0.014922685904678238
alpha_relative_power,0.014890822653322493
delta_power,0.012472801721776592
gamma_power,0.010808277300388289
delta_relative_power,0.008729462595831483
dominant_frequency_hz,0.00729156209007934
spectral_centroid_hz,0.007032527635571514
skewness,0.005412449274935176
median,0.005096425215148706
kurtosis,0.003913749801578461
spectral_entropy,0.0038260293833802506
beta_relative_power,0.0031456511923649284
mean,0.0029991230443463714
gamma_relative_power,0.0021987315427538182
